id,first_name,last_name,aadhaar_number,gender,age,blood_group,blood_pressure,cholestrol,heart_rate,disabled,diagnosis
39,Magdaia,Oliphard,532490037883,Non-binary,10,A-,130/90,140.17,196,Yes,Glioblastoma
40,Bondie,Perfili,602564414079,Male,69,B-,125/85,170.0,120,No,Meningitis
41,Sophronia,Dealy,435416287871,Female,40,A-,110/70,231.97,188,No,Diabetes mellitus
42,Melisenda,Barensen,850462804609,Female,39,B+,120/80,262.33,165,No,Wilson's disease
43,Delaney,Llewellen,481212516998,Male,101,O-,130/90,270.19,116,No,Gout
44,Fidole,Adenot,718030711434,Male,30,B-,130/90,147.21,155,No,Cirrhosis
45,Haslett,Heers,867094203018,Male,53,O-,125/85,205.22,149,Yes,Thyroid disorders
46,Raoul,Bewshaw,729553259157,Male,64,A+,130/90,116.99,101,Yes,Thalassemia
47,Buck,Simkiss,121733458581,Male,32,O-,140/95,190.1,145,Yes,Arthritis
48,Channa,Tidey,814539909785,Bigender,95,AB-,130/90,266.51,102,Yes,Psoriasis
49,Kaia,Liptrot,310552046247,Female,46,B-,140/95,230.71,115,Yes,Thalassemia
50,Thomas,Jenicke,432936864427,Male,28,O+,110/70,241.78,74,Yes,Varicose veins
51,Luz,Kesley,371493415599,Female,89,A+,120/80,240.38,179,Yes,Gastroenteritis
52,Shepard,Kunath,868020849345,Male,45,O-,125/85,101.43,193,Yes,Lymphoma
53,Marie-jeanne,McMillian,708098083522,Female,66,B+,130/90,156.28,78,No,Polycystic kidney disease
54,Douglass,Sholem,803071511235,Male,42,O-,130/90,204.82,159,No,Osteoarthritis
55,Kristien,Balchen,144547867336,Female,15,AB+,140/95,180.05,117,Yes,Endometriosis
56,Georgina,Bowdon,769601710793,Female,45,B-,110/70,185.48,119,Yes,Thalassemia
57,Adena,Gravet,472148028106,Female,82,O-,120/80,146.32,97,Yes,Schizophrenia
58,Chloette,Hedau,324695280330,Non-binary,28,O-,125/85,155.38,105,No,Myeloma
59,Andros,Roloff,173050079949,Bigender,38,AB-,120/80,231.85,65,No,Chronic obstructive pulmonary disease (COPD)
60,Abey,Coton,931237202638,Male,12,O-,140/95,223.41,68,No,Attention-deficit/hyperactivity disorder (ADHD)
61,Chauncey,Delos,626043325135,Male,5,AB-,125/85,161.72,112,Yes,Attention-deficit/hyperactivity disorder (ADHD)
62,Mario,Cosslett,405205412562,Male,102,AB-,130/90,282.43,163,No,Wilson's disease
63,Orel,Fydoe,637396462290,Female,70,A+,120/80,128.31,153,Yes,Cervical cancer
64,Gayle,Tarrier,189580446421,Female,10,B+,120/80,279.39,165,Yes,Addison's disease
65,Lawton,Shenton,339676424919,Male,20,B+,125/85,285.67,149,Yes,Thyroid disorders
66,Kassey,Marjoram,126125394647,Female,33,A+,130/90,158.97,178,Yes,HIV/AIDS
67,Gabriel,Edess,750190381789,Male,8,AB-,110/70,290.79,92,No,Menopause
68,Warren,Wade,291999247075,Male,89,O-,120/80,249.21,157,No,Osteoarthritis
69,Katherine,Penwarden,911063313126,Female,14,A-,140/95,261.65,135,No,Arthritis
70,Cesaro,Flint,556218354412,Male,63,AB-,120/80,294.21,167,Yes,Sickle cell anemia
71,Wit,Croisier,149982481135,Agender,14,A+,125/85,210.37,200,Yes,Alzheimer's disease
72,Liz,Boydle,200818371314,Female,98,B-,125/85,214.3,160,No,Amyotrophic lateral sclerosis (ALS)
73,Packston,Dossantos,507781565172,Male,64,AB+,130/90,149.89,94,Yes,Cancer
74,Donal,Bilfoot,823678241524,Male,37,O+,120/80,150.75,140,No,Bladder cancer
75,Hamil,Vahl,873944410876,Male,10,O+,120/80,297.36,139,Yes,Osteomyelitis
76,Melamie,Howsden,200202619645,Female,31,AB+,110/70,266.7,78,No,Rheumatic fever
77,Basil,Inderwick,881660447487,Male,17,O+,130/90,148.07,85,Yes,Thalassemia
78,Sheppard,Wilshaw,806583618305,Male,53,AB-,110/70,219.75,200,Yes,Pancreatic cancer
79,Jannelle,Segrave,649391942406,Female,89,AB-,140/95,172.26,113,No,Hepatitis
80,Dotty,Oganesian,876866112265,Female,41,A-,140/95,274.78,184,Yes,Attention-deficit/hyperactivity disorder (ADHD)
81,Gaynor,Fishwick,755122768652,Polygender,65,A-,120/80,144.89,73,Yes,Hemochromatosis
82,Conney,Mattersey,587292265229,Non-binary,89,AB-,125/85,139.8,112,Yes,Rheumatoid arthritis
83,Almira,Osgorby,392026966796,Non-binary,58,AB+,110/70,114.8,112,Yes,Von Willebrand disease
84,Corney,Oki,368322661134,Male,90,O-,120/80,153.59,128,Yes,Multiple sclerosis
85,Catharina,Nelthrop,702485170972,Non-binary,62,A-,125/85,176.29,197,No,Dengue fever
86,Roxanne,Ohm,394661137181,Female,16,O-,125/85,150.23,103,Yes,Malaria
87,Nicholle,Brittin,219445783327,Female,30,O+,130/90,100.81,176,Yes,Thalassemia
88,Rakel,Worswick,795154819874,Non-binary,29,O-,125/85,139.8,81,Yes,Uterine cancer
89,Shanie,Cassell,235856554791,Female,78,O+,110/70,238.37,173,Yes,Ebola virus disease
90,Dannye,Briggdale,361447959340,Female,33,A-,120/80,277.98,118,Yes,Melanoma
91,Sebastien,Probart,771841927981,Male,41,B+,140/95,222.96,95,No,Cataracts
92,Lynnette,Moar,372978428729,Female,67,B-,125/85,155.37,156,Yes,Sleep apnea
93,Deeann,Burchett,895957265210,Female,77,B-,140/95,124.81,192,Yes,Depression
94,Georgine,Burrow,824607542075,Female,9,A-,130/90,189.88,186,Yes,Graves' disease
95,Yorgos,Shilito,131036769086,Male,87,O+,125/85,173.04,99,Yes,Kidney cancer
96,Kaia,Dewen,288253717314,Female,14,B+,140/95,117.84,165,Yes,Asthma
97,Allene,Beney,921959902024,Genderfluid,71,O+,120/80,194.65,65,No,Pancreatic cancer
98,Tobiah,Milham,643619130190,Male,43,A+,125/85,125.72,154,No,Endometriosis
99,Cordelia,Lant,838400076627,Female,72,A+,120/80,240.87,169,No,Lupus
100,Evanne,Cowell,641821444947,Female,97,B+,110/70,298.02,131,No,Erectile dysfunction
101,Nowell,Zuanazzi,965321927512,Male,38,A+,140/95,210.66,90,No,Von Willebrand disease
102,Maggee,Cursey,347713612634,Female,5,AB-,140/95,103.63,107,No,Osteomyelitis
103,Fitz,Dunnion,273493191522,Male,28,B+,110/70,147.63,95,Yes,Huntington's disease
104,Ashlan,Duddy,777168153443,Female,40,B+,140/95,125.71,80,Yes,Attention-deficit/hyperactivity disorder (ADHD)
105,Gilligan,Laurent,543174404962,Female,4,O-,130/90,141.76,61,Yes,Premenstrual syndrome (PMS)
106,Alyda,Le Leu,617215798119,Female,60,AB-,125/85,156.36,200,No,Cataracts
107,Guss,Bloschke,864312609641,Male,59,O+,120/80,156.67,113,Yes,Ovarian cancer
108,Filbert,Phalp,967580134250,Male,97,A+,110/70,232.74,123,No,Asthma
109,Andree,Earry,774401690481,Female,38,A-,125/85,165.49,151,No,Uterine cancer
110,Gaspard,Urwen,889068809075,Male,26,A+,130/90,259.77,179,No,Kidney cancer
111,Antonietta,Dwine,180287417203,Agender,98,AB-,125/85,209.86,163,Yes,Crohn's disease
112,Emera,Pitway,166508620665,Female,14,B+,110/70,137.86,144,No,Wilson's disease
113,Pauly,Houseman,709680450431,Female,99,O-,125/85,292.26,139,Yes,Non-melanoma skin cancer
114,Northrup,Poag,720028928902,Male,64,AB+,120/80,283.46,197,No,Down syndrome
115,Fan,Lys,127237729161,Female,32,AB-,140/95,275.35,182,Yes,Premenstrual syndrome (PMS)
116,Burg,Grimsdyke,820166601620,Male,72,B-,140/95,290.64,135,Yes,Chronic obstructive pulmonary disease (COPD)
117,Anatol,Strickler,980124773269,Male,62,A+,120/80,189.94,159,No,Psoriatic arthritis
118,Lesya,Simonetti,547616574358,Female,55,AB-,130/90,112.38,190,Yes,Gastroenteritis
119,Donaugh,Iltchev,186201508759,Male,40,O+,125/85,127.01,175,Yes,Influenza
120,Rollins,England,137302330264,Male,80,B-,125/85,230.84,79,No,Gastritis
121,Yves,Dickings,256646794140,Non-binary,89,B-,125/85,171.18,95,No,Rheumatic fever
122,Kally,De Mitris,251332840351,Female,15,AB-,120/80,116.78,61,Yes,Gout
123,Ed,Brolly,599171713956,Male,43,AB-,110/70,275.16,184,No,Dengue fever
124,Chevalier,Moden,322671102888,Male,59,AB-,120/80,108.55,167,Yes,Schizophrenia
125,Thatcher,Lacheze,370086620076,Male,7,O+,110/70,231.74,65,Yes,Tourette syndrome
126,Emmeline,Letten,251564968877,Female,21,B+,130/90,181.71,104,No,Pancreatic cancer
127,Sada,Robelin,472145505202,Female,17,A-,120/80,187.14,65,Yes,Depression
128,Veriee,Tuffield,286891920311,Female,75,O+,120/80,273.14,87,No,Tuberculosis
129,Adolpho,Durtnell,284132510668,Agender,70,A+,140/95,134.89,99,Yes,Eczema
130,Don,Hills,596838296528,Male,60,AB+,120/80,295.91,124,No,Meningitis
131,Harland,Vondracek,236832295896,Male,39,AB-,125/85,214.48,67,No,Insomnia
132,Robinett,Vida,123195624415,Female,83,B+,130/90,287.49,171,Yes,Prostatitis
133,Lissie,Shilston,470735064032,Female,46,B-,125/85,161.92,67,No,Gastroenteritis
134,Rachael,Cregeen,961446636515,Female,94,A-,120/80,142.33,78,Yes,Huntington's disease
135,Dana,Vamplus,126372367332,Female,58,AB-,130/90,235.64,72,No,Insomnia
136,Colan,Connerly,545647979496,Male,4,O+,110/70,244.7,189,Yes,Psoriasis
137,Corella,Cousens,749475924973,Non-binary,20,A+,110/70,160.65,135,No,Sleep apnea
138,Niel,Mettricke,712556481526,Male,4,B-,130/90,287.17,89,Yes,Pancreatic cancer
139,Kincaid,Corlett,282349874170,Male,62,O-,125/85,292.61,151,Yes,Endometrial cancer
140,Tiebout,Joyson,714376670219,Male,98,B-,140/95,148.49,178,No,Hemophilia
141,Cristi,Dawson,997789486091,Female,47,A+,110/70,196.13,192,Yes,Osteoporosis
142,Caria,Anten,594256890894,Female,41,A+,130/90,107.67,64,No,Osteoporosis
143,Nikolai,Ridge,136993147919,Male,88,AB-,130/90,159.53,143,Yes,Bladder infection
144,Ingeberg,Janny,652907916302,Female,48,AB-,120/80,255.04,128,Yes,Erectile dysfunction
145,Doralynne,Kondratovich,610583579669,Non-binary,39,A-,120/80,165.57,101,Yes,Cholera
146,Sly,Berrigan,905665367063,Male,89,B+,110/70,241.23,119,Yes,Diabetes mellitus
147,Bald,Fass,539983924251,Male,89,B-,125/85,233.4,140,Yes,Macular degeneration
148,Tallia,Christer,811412614174,Female,87,A+,130/90,194.91,93,No,Sickle cell anemia
149,Thain,Filipychev,747237747747,Male,54,B-,130/90,214.24,187,No,Dengue fever
150,Jehanna,Killiam,652264221731,Female,56,O+,130/90,147.03,73,Yes,Lymphoma
151,Jereme,Robjohns,170664987685,Male,54,A+,130/90,271.24,195,No,Prostatitis
152,Lowell,Fanning,736297700396,Male,6,A+,125/85,243.61,175,Yes,Gastritis
153,Calhoun,Lanchester,380803525679,Male,35,B-,130/90,214.21,106,Yes,Peptic ulcer
154,Irwin,Syer,500559236151,Male,89,O-,125/85,293.25,131,No,Bladder cancer
155,Gaylene,Pache,654884621368,Female,97,O-,120/80,115.42,97,Yes,Rheumatoid arthritis
156,Mara,Aggett,996183231549,Female,8,A-,125/85,166.97,141,Yes,Diverticulitis
157,Meredithe,O'Docherty,857394261053,Female,15,A-,110/70,299.69,99,Yes,Erectile dysfunction
158,Bebe,Exelby,124618820675,Bigender,31,AB+,125/85,233.38,169,No,Schizophrenia
159,Vevay,Glendenning,269074402372,Non-binary,98,O+,120/80,182.42,199,Yes,Polycystic kidney disease
160,Ingamar,Grimsdike,518403812426,Male,15,AB-,140/95,292.9,105,Yes,Multiple sclerosis
161,Hanna,Dunkerly,666550479949,Female,59,B-,120/80,226.56,139,Yes,Varicose veins
162,Adriena,Pedroli,661655202895,Polygender,67,O+,110/70,251.15,113,No,Cardiovascular disease
163,Dave,Pitway,969805663317,Male,64,B+,125/85,270.92,89,Yes,Osteoarthritis
164,Giraud,Deeves,339177860193,Male,87,B-,125/85,241.15,135,No,Cardiovascular disease
165,Vickie,Kilgrew,857178279016,Female,35,A+,130/90,164.66,136,Yes,Hemochromatosis
166,Ketti,Dur,291594939498,Female,58,AB-,140/95,233.62,139,No,Osteoarthritis
167,Chip,Hamshaw,299077651566,Male,20,O-,120/80,255.26,146,No,Diabetes mellitus
168,Stanford,Nend,452773112950,Male,62,A-,120/80,127.76,186,Yes,Asthma
169,Linette,Baalham,853804420215,Female,72,AB+,120/80,145.89,62,Yes,Sickle cell anemia
170,Anstice,Clemot,955082501240,Female,69,B-,125/85,299.85,197,Yes,Gastroenteritis
171,Timotheus,Pitson,482827332742,Male,12,O-,130/90,241.95,87,Yes,Obsessive-compulsive disorder (OCD)
172,David,Pogosian,629115874452,Male,38,AB+,140/95,280.67,172,No,Prostatitis
173,Jojo,Brideoke,212355910804,Female,62,AB-,120/80,155.32,72,Yes,Thalassemia
174,Avis,Boraston,729546009748,Female,46,AB+,130/90,290.16,157,No,Celiac disease
175,Baxy,Polotti,543617420441,Male,89,B+,110/70,268.65,161,Yes,Hemochromatosis
176,Linoel,Climson,568875445401,Male,83,AB-,125/85,225.97,62,No,Rheumatic fever
177,Armand,Fontaine,892943404194,Male,5,O+,140/95,209.46,64,No,Ulcerative colitis
178,Ingemar,Aylen,538029673637,Male,14,B+,120/80,161.2,153,Yes,Diverticulitis
179,Alexandros,Fromant,119232711845,Male,6,B-,140/95,149.36,66,No,Endometriosis
180,Warde,Farrears,486577319080,Male,34,A-,130/90,146.95,192,Yes,Brain tumor
181,Samantha,Rosenfarb,945820576944,Female,63,B+,130/90,245.93,178,No,Tuberculosis
182,Simonne,Huggill,553213119674,Female,99,O+,125/85,136.64,86,Yes,Wilson's disease
183,Rocky,Pigot,461479013562,Agender,56,O-,140/95,286.49,143,Yes,Influenza
184,Gena,Souness,914805697726,Female,40,AB+,120/80,136.37,185,No,Lupus
185,Elissa,Horley,596437503169,Agender,66,AB+,140/95,204.94,95,No,Macular degeneration
186,Valerie,Dukelow,919081995462,Female,66,AB+,140/95,201.35,144,Yes,Ulcerative colitis
187,Sayre,Benyan,278176058572,Male,69,B-,130/90,182.42,162,Yes,Influenza
188,Emmet,Form,235196755153,Male,71,B-,120/80,223.96,77,Yes,Chronic kidney disease
189,Thekla,Von Der Empten,687019936979,Female,72,O+,130/90,110.66,66,Yes,Osteomyelitis
190,Heather,Mathison,439402786005,Female,101,A-,130/90,270.44,152,No,Varicose veins
191,Lindsy,Wilcocke,243782102247,Female,51,B+,125/85,138.53,83,Yes,Non-melanoma skin cancer
192,Rusty,Ferriday,491124755704,Male,42,AB-,140/95,130.5,170,No,Leukemia
193,Lindsey,Liebmann,661425646844,Polygender,6,O-,130/90,227.31,98,Yes,Alzheimer's disease
194,Issy,Leacy,112276114696,Female,23,AB+,120/80,100.61,132,Yes,Prostatitis
195,Jamie,Hartropp,739877489938,Male,38,A+,140/95,225.43,115,No,Fibrosis
196,Cheri,Edmeades,290686930195,Female,27,AB+,110/70,142.43,194,No,Hypertension
197,Dannie,Clementel,138344533279,Female,101,A+,140/95,192.79,133,No,Cancer
198,Herold,Causby,151853116703,Male,22,O+,140/95,180.26,115,Yes,Fibromyalgia
199,Monroe,Van den Dael,687154089249,Male,78,A+,110/70,172.79,157,No,Tourette syndrome
200,Ida,Blowen,895022845224,Female,19,O-,125/85,184.68,135,No,Crohn's disease
201,Roderich,Scurry,938455461174,Male,5,AB-,130/90,231.53,184,Yes,Gastritis
202,Chrissie,Bartol,887454993729,Male,27,B-,120/80,250.45,80,Yes,Thrombosis
203,Cahra,Lusher,739426962753,Female,102,A-,140/95,256.37,147,No,Insomnia
204,Imogen,Biasotti,965369621834,Female,55,A+,130/90,255.33,136,No,Osteomyelitis
205,Hally,Cunniff,904289185104,Female,57,B+,120/80,176.3,111,No,Myasthenia gravis
206,Thadeus,McCaffrey,406144642389,Male,47,O-,125/85,235.78,104,No,Depression
207,Berni,Tinkler,528426691937,Female,9,B-,140/95,133.95,93,No,Menopause
208,Dorey,Sarfas,148189457761,Male,30,B-,120/80,210.01,139,No,Psoriatic arthritis
209,Matthieu,Purchall,582991138149,Male,20,B+,110/70,224.08,154,Yes,Cataracts
210,Torrin,Drugan,610656669030,Male,12,AB-,130/90,124.26,115,No,Cancer
211,Arte,Chatell,936860978537,Male,82,O-,140/95,148.31,144,No,Ulcerative colitis
212,Karoline,Goldsworthy,265421901162,Female,43,B+,125/85,185.75,165,No,Celiac disease
213,Owen,Stoeck,424207052144,Male,91,A+,110/70,282.66,185,No,Schizophrenia
214,Lelia,Bencher,998915558771,Non-binary,69,B-,110/70,155.07,92,No,Glaucoma
215,Vincenz,McAnellye,337845874037,Male,58,B-,125/85,273.04,175,Yes,Influenza
216,Deina,MacCaughey,957499723131,Female,58,O-,110/70,168.6,104,Yes,Lupus
217,Jephthah,Williscroft,818728643968,Male,10,B-,110/70,256.57,172,Yes,Atherosclerosis
218,Winfred,Grennan,788913737089,Male,82,AB+,130/90,133.52,71,Yes,Obsessive-compulsive disorder (OCD)
219,Klement,Gravatt,588857339268,Male,31,AB+,125/85,281.88,118,Yes,Glioblastoma
220,Flint,Bird,419156766084,Male,18,A-,110/70,252.48,132,Yes,Eczema
221,Desiree,Mulrooney,809117502853,Bigender,99,A-,125/85,152.62,94,No,Cardiovascular disease
222,Myrna,Cornfield,325212425616,Female,65,B-,110/70,117.14,197,No,Hepatitis
223,Waverley,St Louis,315864042897,Male,78,AB-,140/95,210.58,171,No,Osteomyelitis
224,Emile,Rihanek,393680088467,Male,82,A+,130/90,273.57,172,Yes,Gastritis
225,Marissa,Benning,681630961045,Female,19,O+,110/70,247.42,96,No,Down syndrome
226,Grady,Garthshore,226949402006,Male,33,B-,120/80,176.35,187,No,Rheumatoid arthritis
227,Jens,Fewell,760145956249,Male,22,A-,125/85,284.84,63,No,Ovarian cancer
228,Dreddy,Groucock,444826398106,Bigender,20,AB-,140/95,248.74,69,Yes,Osteomyelitis
229,Dare,Friedlos,719951547810,Male,51,A-,130/90,229.21,125,Yes,Diabetes mellitus
230,Marice,Sanches,604652957092,Female,30,A-,130/90,219.41,138,Yes,Psoriatic arthritis
231,Faythe,Malden,543851613605,Genderfluid,32,A+,140/95,178.8,86,No,Rheumatoid arthritis
232,Burtie,Skurray,535065832869,Male,69,B+,125/85,183.89,155,No,Amyotrophic lateral sclerosis (ALS)
233,Garland,De La Hay,366776094129,Female,97,A-,140/95,268.0,158,Yes,Diverticulitis
234,Carling,Castellani,283275734451,Male,12,O+,140/95,196.89,153,No,Pneumonia
235,Kendell,Burborough,161639583158,Polygender,51,AB+,140/95,215.32,188,Yes,Cancer
236,Hersh,Downey,394121440695,Male,82,B-,130/90,175.64,117,No,Pneumonia
237,Janeczka,Pagden,106189180343,Genderqueer,103,AB+,120/80,151.63,70,Yes,Lymphoma
238,Tamarah,Cicculini,721496993210,Female,33,B-,140/95,116.84,142,Yes,Influenza
239,Alexandre,Cathie,799999028669,Male,66,A+,130/90,256.56,101,No,Brain tumor
240,Flint,Faircliffe,858819759554,Male,7,A-,125/85,174.47,65,No,Osteomyelitis
241,Hailee,Jirsa,732831174104,Female,32,O+,130/90,191.8,165,No,Cancer
242,Ondrea,Bryning,581464206812,Female,62,O+,120/80,125.4,84,No,Gastritis
243,Earvin,Phorsby,395853532645,Male,83,B-,110/70,143.98,119,Yes,Uterine cancer
244,Jelene,Voden,946447642086,Female,78,B-,130/90,228.96,153,No,Hepatitis
245,Jorie,Hartness,703419772392,Female,65,A-,110/70,182.21,140,Yes,Chronic obstructive pulmonary disease (COPD)
246,Hewe,Ounsworth,587267722731,Male,15,A+,140/95,291.06,94,No,Attention-deficit/hyperactivity disorder (ADHD)
247,Candice,Attlee,705782443500,Female,21,AB-,130/90,145.82,199,Yes,Bipolar disorder
248,Appolonia,Bengefield,650145205744,Female,45,AB-,110/70,109.41,199,Yes,Premenstrual syndrome (PMS)
249,Huntley,Northley,345605721586,Male,31,A-,120/80,107.31,69,No,Graves' disease
250,Debee,McCrillis,259551333875,Female,17,A+,120/80,253.91,116,No,Kidney cancer
251,Chip,Lealle,918698380788,Male,99,AB+,110/70,253.23,111,No,Rheumatic fever
252,Giffer,Websdale,623971798520,Male,89,A+,125/85,153.15,96,No,Psoriatic arthritis
253,Erin,Milnthorpe,233922072057,Female,59,B-,120/80,221.78,189,Yes,Polycystic ovarian syndrome (PCOS)
254,Hussein,Banger,110148791802,Male,10,B-,130/90,184.74,200,Yes,Cancer
255,Phil,Gauld,393236385276,Male,55,A+,130/90,104.96,192,Yes,Lymphoma
256,Arabel,Penwright,987739377149,Non-binary,38,B-,130/90,137.52,182,No,Diverticulitis
257,Denney,Borwick,286433439237,Male,74,O-,120/80,179.53,149,No,Lupus
258,Brita,Hissett,806638177797,Female,82,AB-,130/90,225.71,158,No,Brain tumor
259,Kiah,Screeton,925346975240,Female,92,A+,110/70,123.05,114,No,Cervical cancer
260,Amelie,Garrad,684410719756,Female,87,O+,120/80,289.72,60,No,Hemophilia
261,Kizzie,Flatt,688081571341,Female,76,O-,125/85,195.26,73,Yes,Melanoma
262,Roselia,Kennon,731072294420,Female,42,A+,120/80,154.49,81,No,Rheumatoid arthritis
263,Thorstein,Reyna,195006443030,Male,90,A+,110/70,155.15,144,No,Osteoarthritis
264,Howey,Townend,596384910876,Male,78,A+,110/70,105.05,150,Yes,Hepatitis
265,Garey,Stanmore,969569496608,Male,82,AB-,140/95,261.36,185,No,Crohn's disease
266,Tommie,Paulat,163756068387,Female,32,O+,140/95,111.27,85,Yes,Hepatitis
267,Matthus,Carloni,195753963050,Male,35,B+,120/80,104.6,110,No,Varicose veins
268,Dexter,Peagrim,585613528627,Male,75,B-,125/85,150.82,75,No,Celiac disease
269,Jennine,Killingsworth,940692606518,Female,53,O-,125/85,106.95,185,Yes,Fibromyalgia
270,Giovanna,Baddam,365785394749,Polygender,72,B-,125/85,256.72,70,Yes,Rheumatic fever
271,Rutherford,Fawlks,396750655037,Male,25,O+,125/85,127.09,97,No,Celiac disease
272,Bartie,Daughtrey,220372930109,Male,40,AB-,130/90,283.4,114,No,Cataracts
273,Alejoa,Alger,520375701060,Male,90,A+,110/70,253.28,178,Yes,Cataracts
274,Jereme,Samber,609173655130,Male,41,B-,125/85,127.66,138,No,Cancer
275,Townie,Glide,166060641887,Male,62,O+,140/95,215.0,103,Yes,Addison's disease
276,Lothaire,Paynes,791857876576,Male,64,O-,110/70,274.11,84,No,Asthma
277,Tammie,Schrieves,144847097443,Female,13,AB+,140/95,200.68,68,No,Down syndrome
278,Addie,Tonner,680873135718,Male,76,B-,130/90,255.65,63,No,Fibrosis
279,Barbey,Jaqueminet,615360097898,Female,24,AB-,110/70,223.01,192,Yes,Acne
280,Dorree,Fessier,287560822379,Genderfluid,20,O-,125/85,173.77,137,Yes,Arthritis
281,Conway,Loud,485973110390,Male,37,A-,130/90,228.18,176,No,Asthma
282,Nico,Ipsley,572966145663,Male,100,O+,140/95,246.09,191,Yes,Bladder cancer
283,Madonna,Sifflett,543797620352,Female,15,A-,125/85,253.4,117,Yes,Malaria
284,Roosevelt,Jepson,432322662030,Male,74,O-,110/70,156.99,190,Yes,Glaucoma
285,Konstantine,Heatly,347960725135,Male,90,B+,140/95,165.21,86,Yes,Ovarian cancer
286,Claudia,Scase,525968133779,Female,66,A+,140/95,192.71,149,Yes,Cirrhosis
